Unnamed: 0,Time,Feed-In,Purchased,Production,Load,Charge,Discharge,Unnamed: 0_x,air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,cloud_opacity10,cloud_opacity90,dewpoint_temp,dni,dhi10,dhi90,ghi,ghi10,ghi90,precipitable_water,precipitation_rate,relative_humidity,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,Unnamed: 0_y,temperature,rain_probability,feel_temperature,humidity,uv_index,cloud_cover,rain_amount,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_1_h,D_2_h,D_3_h,D_4_h,Pc_1,Pc_2,Pc_3,Pc_4,Pc_5,Pc_6,Pc_7,Timesteps,Month,Day,Hour,Minute,Index,interval
672,2024-09-08 00:00:00,0.0,1550.0,0.0,1555.0,0.0,5.0,672,24,0.09,-17,0,0,0,0,29,32,27,22.7,0,0,0,0,0,0,41.9,0.0,90.2,24,8,1.6,1.4,141,672,80,0.03,88,0.85,0,0.2,0.0,1503.5,1471.0,1470.0,1505.0,1533.333333,1566.666667,1366.666667,1677.666667,1802.666667,1605.0,3923.0,1500.0,1466.666667,1466.666667,1500.0,1533.333333,1566.666667,1366.666667,1,9,8,0,0,0,1
673,2024-09-08 00:15:00,0.0,1633.333333,0.0,1637.333333,0.0,4.0,673,24,0.09,-22,0,0,0,0,29,32,27,22.7,0,0,0,0,0,0,41.3,0.0,90.3,21,5,1.8,1.5,140,673,80,0.03,88,0.85,0,0.2,0.0,1435.666667,1569.666667,1469.0,1503.666667,1500.0,1600.0,1300.0,1622.0,1822.0,1570.666667,2524.666667,1433.333333,1566.666667,1466.666667,1500.0,1500.0,1600.0,1300.0,2,9,8,0,15,1,2
674,2024-09-08 00:30:00,0.0,1633.333333,0.0,1636.333333,0.0,3.0,674,24,0.09,-28,0,0,0,0,27,32,22,22.7,0,0,0,0,0,0,40.6,0.0,90.3,17,2,1.9,1.6,139,674,80,0.03,88,0.85,0,0.2,0.0,1367.666667,1535.333333,1367.333333,1469.333333,1400.0,1400.0,1433.333333,1642.0,1858.0,1503.333333,1997.333333,1366.666667,1533.333333,1366.666667,1466.666667,1400.0,1400.0,1433.333333,3,9,8,0,30,2,3
675,2024-09-08 00:45:00,0.0,3033.333333,0.0,3035.666667,0.0,2.333333333,675,24,0.09,-33,0,0,0,0,27,32,24,22.6,0,0,0,0,0,0,39.9,0.0,90.3,13,360,2.1,1.8,137,675,80,0.03,88,0.85,0,0.2,0.0,1451.0,1601.0,1300.0,1335.0,1466.666667,1200.0,1433.333333,1672.666667,1738.0,1536.333333,1806.0,1450.0,1600.0,1300.0,1333.333333,1466.666667,1200.0,1433.333333,4,9,8,0,45,3,4
676,2024-09-08 01:00:00,0.0,2033.333333,0.0,2035.0,0.0,1.666666667,676,24,0.09,-37,0,0,0,0,26,31,24,22.6,0,0,0,0,0,0,39.2,0.0,90.3,10,357,2.3,1.9,135,676,80,0.03,87,0.87,0,0.3,0.0,1400.333333,1534.0,1300.0,1267.666667,1633.333333,1266.666667,1400.0,1555.0,1677.666667,1802.666667,1605.0,1400.0,1533.333333,1300.0,1266.666667,1633.333333,1266.666667,1400.0,5,9,8,1,0,4,5
677,2024-09-08 01:15:00,0.0,1766.666667,0.0,1767.666667,0.0,1.0,677,24,0.09,-42,0,0,0,0,26,32,22,22.6,0,0,0,0,0,0,39.0,0.0,90.5,15,3,2.3,1.8,133,677,80,0.03,87,0.87,0,0.3,0.0,1400.0,1466.666667,1233.333333,1251.0,1650.0,1233.333333,1366.666667,1637.333333,1622.0,1822.0,1570.666667,1400.0,1466.666667,1233.333333,1250.0,1650.0,1233.333333,1366.666667,6,9,8,1,15,5,6
678,2024-09-08 01:30:00,0.0,1566.666667,0.0,1567.333333,0.0,0.666666667,678,24,0.09,-46,0,0,0,0,26,31,20,22.6,0,0,0,0,0,0,39.0,0.0,90.8,23,10,2.2,1.8,131,678,80,0.03,87,0.87,0,0.3,0.0,1433.333333,1466.666667,1299.333333,1166.666667,1400.0,1133.333333,1433.333333,1636.333333,1642.0,1858.0,1503.333333,1433.333333,1466.666667,1300.0,1166.666667,1400.0,1133.333333,1433.333333,7,9,8,1,30,6,7
679,2024-09-08 01:45:00,0.0,1566.666667,0.0,1566.666667,0.0,0.0,679,24,0.09,-49,0,0,0,0,24,31,17,22.6,0,0,0,0,0,0,38.9,0.0,91.0,30,18,2.2,1.8,129,679,80,0.03,87,0.87,0,0.3,0.0,1466.666667,1433.333333,1333.333333,1300.0,1300.0,1066.666667,1400.0,3035.666667,1672.666667,1738.0,1536.333333,1466.666667,1433.333333,1333.333333,1300.0,1300.0,1066.666667,1400.0,8,9,8,1,45,7,8
680,2024-09-08 02:00:00,0.0,1533.333333,0.0,1533.333333,0.0,0.0,680,24,0.09,-53,0,0,0,0,24,31,17,22.6,0,0,0,0,0,0,38.9,0.0,91.3,37,25,2.3,1.8,126,680,79,0.03,85,0.88,0,0.32,0.0,1366.666667,1433.333333,1300.0,1366.666667,1333.333333,966.6666667,1300.0,2035.0,1555.0,1677.666667,1802.666667,1366.666667,1433.333333,1300.0,1366.666667,1333.333333,966.6666667,1300.0,9,9,8,2,0,8,9
681,2024-09-08 02:15:00,0.0,1500.0,0.0,1500.0,0.0,0.0,681,24,0.09,-56,0,0,0,0,22,31,17,22.6,0,0,0,0,0,0,38.9,0.0,91.2,37,25,2.3,1.8,124,681,79,0.03,85,0.88,0,0.32,0.0,1433.333333,1533.333333,1333.333333,1300.0,1200.0,1050.0,1333.333333,1767.666667,1637.333333,1622.0,1822.0,1433.333333,1533.333333,1333.333333,1300.0,1200.0,1050.0,1333.333333,10,9,8,2,15,9,10
