iter	RMSE
0	346.3565626
1	336.6159846
2	327.7651199
3	319.3212505
4	311.9672966
5	304.621924
6	298.0028868
7	291.5041215
8	285.4666711
9	279.8708234
10	274.3994688
11	269.3583512
12	264.7879786
13	260.5092387
14	256.7311438
15	252.7013162
16	249.2186966
17	246.1975344
18	242.8514054
19	239.6248377
20	236.6670856
21	233.8965329
22	231.7423885
23	229.1567329
24	226.5039669
25	224.0583678
26	221.7607423
27	219.7975489
28	217.5529487
29	215.7205651
30	213.9632269
31	212.038036
32	210.5910852
33	209.0498492
34	207.9132457
35	206.4801024
36	205.2202451
37	204.0418571
38	202.6013868
39	201.4998124
40	200.4657506
41	199.3376976
42	198.3662238
43	197.3651692
44	196.6340643
45	195.7566618
46	194.9020759
47	194.0472492
48	193.3331593
49	192.5372267
50	191.7613488
51	191.097189
52	190.3204083
53	189.5783058
54	189.0398904
55	188.4465956
56	187.9692068
57	187.4936421
58	186.9334061
59	186.3493419
60	185.7831716
61	185.3066248
62	184.7848916
63	184.3485722
64	183.6872534
65	183.2579417
66	182.7310011
67	182.4244459
68	182.0946962
69	181.5731337
70	181.1576994
71	180.7785565
72	180.3493534
73	179.9764558
74	179.5815833
75	179.1967701
76	178.7085166
77	178.1937683
78	177.8324658
79	177.5907009
80	177.0191611
81	176.7422374
82	176.3588055
83	176.0861471
84	175.8121462
85	175.5525001
86	175.2181432
87	174.873994
88	174.5415888
89	174.3196844
90	174.0469276
91	173.6135409
92	173.3531669
93	173.1806386
94	172.7617893
95	172.5206185
96	172.2056178
97	171.9406866
98	171.6802629
99	171.419941
100	171.1582112
101	170.637171
102	170.4011333
103	170.0447945
104	169.7724515
105	169.2033956
106	168.944924
107	168.7677508
108	168.6083739
109	168.2258682
110	167.8768959
111	167.5500465
112	167.4087901
113	167.2303989
114	166.9828197
115	166.7668938
116	166.5475713
117	166.4065934
118	166.1712655
119	165.779524
120	165.2750904
121	164.9399234
122	164.6986495
123	164.4913818
124	164.1392383
125	163.8286374
126	163.6681113
127	163.4070402
128	163.1524491
129	162.9285868
130	162.7651673
131	162.5993958
132	162.359566
133	162.2431229
134	161.9806008
135	161.8879909
136	161.6608607
137	161.5098503
138	161.2551652
139	161.0077723
140	160.7382951
141	160.5102849
142	160.3007898
143	160.0344346
144	159.8059427
145	159.6155137
146	159.296548
147	159.0584094
148	158.7962027
149	158.5196276
150	158.2851075
151	158.0663515
152	157.7761933
153	157.6131462
154	157.43564
155	157.3180872
156	157.0823294
157	156.9341011
158	156.8173344
159	156.5055073
160	156.3165403
161	156.0634891
162	155.7733319
163	155.4964165
164	155.3364059
165	155.0727343
166	154.9022335
167	154.7005527
168	154.3907851
169	154.2393717
170	154.0289077
171	153.83506
172	153.395982
173	153.2086521
174	152.9448913
175	152.7531341
176	152.563876
177	152.289584
178	152.1506888
179	152.0657164
180	151.9116231
181	151.813573
182	151.6829215
183	151.5150505
184	151.328735
185	151.1977559
186	150.9012325
187	150.6856687
188	150.3664673
189	150.1439191
190	149.8482591
191	149.5618976
192	149.2742378
193	149.1237574
194	148.8766642
195	148.6779793
196	148.4983444
197	148.3502498
198	148.140866
199	147.9973261
