iter	Passed	Remaining
0	1	640
1	2	617
2	3	497
3	3	402
4	3	373
5	4	358
6	4	344
7	5	331
8	5	321
9	6	313
10	6	299
11	7	324
12	8	336
13	9	331
14	10	324
15	10	317
16	10	305
17	11	298
18	11	296
19	12	292
20	12	293
21	13	293
22	14	297
23	14	295
24	15	294
25	15	291
26	16	290
27	17	288
28	17	286
29	19	309
30	20	309
31	21	315
32	22	313
33	22	311
34	23	309
35	24	316
36	25	314
37	25	312
38	26	311
39	26	309
40	27	307
41	28	306
42	28	304
43	29	302
44	29	300
45	30	299
46	30	297
47	31	295
48	31	294
49	32	292
50	33	291
51	33	290
52	34	295
53	35	292
54	35	290
55	36	290
56	37	289
57	38	294
58	39	292
59	39	291
60	40	290
61	40	289
62	42	292
63	43	295
64	43	294
65	44	292
66	45	292
67	46	293
68	46	292
69	47	290
70	49	296
71	49	293
72	50	297
73	51	297
74	52	295
75	52	294
76	53	293
77	53	291
78	54	288
79	54	287
80	55	286
81	55	284
82	57	287
83	57	286
84	58	284
85	59	286
86	61	290
87	61	288
88	62	287
89	62	285
90	63	284
91	63	283
92	64	282
93	65	280
94	65	279
95	66	278
96	67	279
97	68	281
98	69	279
99	69	278
100	70	277
101	70	276
102	71	274
103	71	273
104	72	272
105	73	271
106	73	270
107	74	268
108	74	268
109	75	267
110	76	268
111	77	269
112	78	268
113	79	267
114	79	266
115	80	265
116	80	264
117	81	262
118	81	261
119	82	260
120	83	261
121	84	260
122	84	259
123	85	258
124	85	257
125	86	256
126	87	255
127	87	254
128	87	253
129	88	251
130	89	250
131	89	249
132	90	248
133	90	247
134	91	248
135	92	246
136	92	245
137	94	247
138	94	246
139	95	245
140	95	244
141	96	243
142	97	242
143	97	241
144	98	241
145	99	240
146	100	241
147	101	240
148	101	239
149	102	238
150	102	237
151	103	236
152	104	237
153	105	236
154	105	235
155	106	234
156	106	233
157	107	232
158	108	232
159	109	232
160	109	231
161	110	230
162	111	230
163	112	230
164	112	229
165	113	228
166	114	228
167	116	229
168	116	228
169	117	227
170	117	226
171	118	225
172	118	224
173	120	225
174	121	225
175	122	226
176	123	225
177	123	224
178	124	223
179	125	222
180	125	221
181	126	220
182	126	219
183	127	219
184	128	218
185	129	218
186	129	217
187	130	216
188	130	215
189	131	214
190	131	213
191	132	212
192	133	211
193	133	210
194	134	209
195	134	209
196	135	208
197	135	207
198	136	206
199	136	205
200	137	204
201	138	203
202	138	202
203	139	202
204	139	201
205	140	200
206	140	199
207	141	198
208	142	197
209	142	196
210	143	196
211	143	195
212	144	194
213	144	193
214	145	192
215	146	192
216	146	191
217	147	190
218	147	189
219	148	188
220	148	187
221	149	187
222	149	186
223	150	185
224	151	184
225	151	183
226	152	183
227	152	182
228	153	181
229	154	180
230	154	180
231	156	180
232	156	179
233	157	178
234	157	177
235	158	177
236	158	176
237	159	175
238	159	174
239	160	173
240	161	173
241	162	173
242	163	172
243	163	172
244	164	171
245	165	171
246	166	170
247	166	169
248	167	168
249	168	168
250	169	168
251	170	167
252	171	167
253	171	166
254	172	165
255	172	164
256	173	164
257	173	163
258	174	162
259	175	161
260	175	160
261	176	160
262	176	159
263	177	158
264	178	158
265	179	157
266	180	157
267	180	156
268	181	155
269	181	154
270	182	153
271	182	153
272	183	152
273	183	151
274	184	150
275	185	150
276	185	149
277	186	149
278	187	148
279	187	147
280	188	146
281	188	146
282	189	145
283	191	145
284	192	145
285	193	144
286	194	144
287	195	143
288	196	143
289	196	142
290	197	141
291	197	141
292	198	140
293	200	140
294	200	139
295	201	138
296	202	138
297	203	138
298	204	137
299	204	136
300	205	135
301	205	135
302	206	134
303	207	133
304	208	133
305	209	132
306	209	131
307	210	131
308	210	130
309	211	129
310	211	128
311	212	128
312	213	127
313	213	126
314	214	126
315	216	125
316	216	125
317	217	124
318	218	123
319	218	123
320	219	122
321	219	121
322	220	120
323	220	119
324	221	119
325	222	118
326	222	117
327	223	117
328	223	116
329	224	115
330	224	114
331	225	114
332	226	113
333	226	112
334	227	111
335	227	111
336	228	110
337	229	109
338	229	109
339	230	108
340	231	107
341	232	107
342	232	106
343	233	105
344	233	105
345	234	104
346	235	103
347	235	102
348	235	102
349	237	101
350	237	100
351	238	100
352	239	99
353	240	99
354	240	98
355	241	97
356	241	96
357	242	96
358	243	95
359	244	94
360	244	94
361	245	93
362	245	92
363	247	92
364	248	91
365	248	91
366	249	90
367	250	89
368	250	88
369	251	88
370	251	87
371	252	86
372	253	86
373	254	85
374	254	84
375	255	84
376	255	83
377	256	82
378	257	82
379	257	81
380	258	80
381	258	79
382	259	79
383	259	78
384	260	77
385	261	77
386	261	76
387	262	75
388	262	74
389	263	74
390	263	73
391	264	72
392	265	72
393	265	71
394	266	70
395	266	70
396	267	69
397	267	68
398	268	67
399	269	67
400	269	66
401	270	65
402	270	65
403	271	64
404	272	63
405	273	63
406	274	62
407	275	62
408	276	61
409	276	60
410	277	60
411	277	59
412	278	58
413	278	57
414	279	57
415	280	56
416	281	55
417	281	55
418	282	54
419	282	53
420	283	53
421	284	52
422	284	51
423	285	51
424	285	50
425	286	49
426	287	49
427	288	48
428	289	47
429	289	47
430	290	46
431	291	45
432	291	45
433	292	44
434	292	43
435	293	43
436	294	42
437	295	41
438	295	41
439	297	40
440	297	39
441	298	39
442	298	38
443	299	37
444	299	37
445	301	36
446	301	35
447	302	35
448	302	34
449	303	33
450	304	33
451	304	32
452	305	31
453	305	30
454	306	30
455	307	29
456	307	28
457	308	28
458	308	27
459	309	26
460	309	26
461	310	25
462	311	24
463	312	24
464	313	23
465	314	22
466	315	22
467	316	21
468	316	20
469	317	20
470	317	19
471	318	18
472	319	18
473	319	17
474	320	16
475	321	16
476	321	15
477	322	14
478	322	14
479	323	13
480	324	12
481	324	12
482	325	11
483	325	10
484	326	10
485	326	9
486	327	8
487	327	8
488	328	7
489	328	6
490	329	6
491	330	5
492	330	4
493	331	4
494	331	3
495	332	2
496	332	2
497	333	1
498	334	0
499	334	0
