Predict tại thời điểm,Interval,Yactual,yoredicted,mape
2024-11-14 00:00:00,00:00,,,
2024-11-15 00:00:00,00:00,,,
2024-11-16 00:00:00,00:00,,,
2024-11-19 00:00:00,00:00,,,
2024-11-20 00:00:00,00:00,,,
2024-11-21 00:00:00,00:00,,,
2024-11-22 00:00:00,00:00,,,
2024-11-14 00:15:00,00:15,,,
2024-11-15 00:15:00,00:15,,,
2024-11-16 00:15:00,00:15,,,
2024-11-19 00:15:00,00:15,,,
2024-11-20 00:15:00,00:15,,,
2024-11-21 00:15:00,00:15,,,
2024-11-22 00:15:00,00:15,,,
2024-11-14 00:30:00,00:30,,,
2024-11-15 00:30:00,00:30,,,
2024-11-16 00:30:00,00:30,,,
2024-11-19 00:30:00,00:30,,,
2024-11-20 00:30:00,00:30,,,
2024-11-21 00:30:00,00:30,,,
2024-11-22 00:30:00,00:30,,,
2024-11-14 00:45:00,00:45,,,
2024-11-15 00:45:00,00:45,,,
2024-11-16 00:45:00,00:45,,,
2024-11-19 00:45:00,00:45,,,
2024-11-20 00:45:00,00:45,,,
2024-11-21 00:45:00,00:45,,,
2024-11-22 00:45:00,00:45,,,
2024-11-14 01:00:00,01:00,,,
2024-11-15 01:00:00,01:00,,,
2024-11-16 01:00:00,01:00,,,
2024-11-19 01:00:00,01:00,,,
2024-11-20 01:00:00,01:00,,,
2024-11-21 01:00:00,01:00,,,
2024-11-22 01:00:00,01:00,,,
2024-11-14 01:15:00,01:15,,,
2024-11-15 01:15:00,01:15,,,
2024-11-16 01:15:00,01:15,,,
2024-11-19 01:15:00,01:15,,,
2024-11-20 01:15:00,01:15,,,
2024-11-21 01:15:00,01:15,,,
2024-11-22 01:15:00,01:15,,,
2024-11-14 01:30:00,01:30,,,
2024-11-15 01:30:00,01:30,,,
2024-11-16 01:30:00,01:30,,,
2024-11-19 01:30:00,01:30,,,
2024-11-20 01:30:00,01:30,,,
2024-11-21 01:30:00,01:30,,,
2024-11-22 01:30:00,01:30,,,
2024-11-14 01:45:00,01:45,,,
2024-11-15 01:45:00,01:45,,,
2024-11-16 01:45:00,01:45,,,
2024-11-19 01:45:00,01:45,,,
2024-11-20 01:45:00,01:45,,,
2024-11-21 01:45:00,01:45,,,
2024-11-22 01:45:00,01:45,,,
2024-11-14 02:00:00,02:00,,,
2024-11-15 02:00:00,02:00,,,
2024-11-16 02:00:00,02:00,,,
2024-11-19 02:00:00,02:00,,,
2024-11-20 02:00:00,02:00,,,
2024-11-21 02:00:00,02:00,,,
2024-11-22 02:00:00,02:00,,,
2024-11-14 02:15:00,02:15,,,
2024-11-15 02:15:00,02:15,,,
2024-11-16 02:15:00,02:15,,,
2024-11-19 02:15:00,02:15,,,
2024-11-20 02:15:00,02:15,,,
2024-11-21 02:15:00,02:15,,,
2024-11-22 02:15:00,02:15,,,
2024-11-14 02:30:00,02:30,,,
2024-11-15 02:30:00,02:30,,,
2024-11-16 02:30:00,02:30,,,
2024-11-19 02:30:00,02:30,,,
2024-11-20 02:30:00,02:30,,,
2024-11-21 02:30:00,02:30,,,
2024-11-22 02:30:00,02:30,,,
2024-11-14 02:45:00,02:45,,,
2024-11-15 02:45:00,02:45,,,
2024-11-16 02:45:00,02:45,,,
2024-11-19 02:45:00,02:45,,,
2024-11-20 02:45:00,02:45,,,
2024-11-21 02:45:00,02:45,,,
2024-11-22 02:45:00,02:45,,,
2024-11-14 03:00:00,03:00,,,
2024-11-15 03:00:00,03:00,,,
2024-11-16 03:00:00,03:00,,,
2024-11-19 03:00:00,03:00,,,
2024-11-20 03:00:00,03:00,,,
2024-11-21 03:00:00,03:00,,,
2024-11-22 03:00:00,03:00,,,
2024-11-14 03:15:00,03:15,,,
2024-11-15 03:15:00,03:15,,,
2024-11-16 03:15:00,03:15,,,
2024-11-19 03:15:00,03:15,,,
2024-11-20 03:15:00,03:15,,,
2024-11-21 03:15:00,03:15,,,
2024-11-22 03:15:00,03:15,,,
2024-11-14 03:30:00,03:30,,,
2024-11-15 03:30:00,03:30,,,
2024-11-16 03:30:00,03:30,,,
2024-11-19 03:30:00,03:30,,,
2024-11-20 03:30:00,03:30,,,
2024-11-21 03:30:00,03:30,,,
2024-11-22 03:30:00,03:30,,,
2024-11-14 03:45:00,03:45,,,
2024-11-15 03:45:00,03:45,,,
2024-11-16 03:45:00,03:45,,,
2024-11-19 03:45:00,03:45,,,
2024-11-20 03:45:00,03:45,,,
2024-11-21 03:45:00,03:45,,,
2024-11-22 03:45:00,03:45,,,
2024-11-14 04:00:00,04:00,,,
2024-11-15 04:00:00,04:00,,,
2024-11-16 04:00:00,04:00,,,
2024-11-19 04:00:00,04:00,,,
2024-11-20 04:00:00,04:00,,,
2024-11-21 04:00:00,04:00,,,
2024-11-22 04:00:00,04:00,,,
2024-11-14 04:15:00,04:15,,,
2024-11-15 04:15:00,04:15,,,
2024-11-16 04:15:00,04:15,,,
2024-11-19 04:15:00,04:15,,,
2024-11-20 04:15:00,04:15,,,
2024-11-21 04:15:00,04:15,,,
2024-11-22 04:15:00,04:15,,,
2024-11-14 04:30:00,04:30,,,
2024-11-15 04:30:00,04:30,,,
2024-11-16 04:30:00,04:30,,,
2024-11-19 04:30:00,04:30,,,
2024-11-20 04:30:00,04:30,,,
2024-11-21 04:30:00,04:30,,,
2024-11-22 04:30:00,04:30,,,
2024-11-14 04:45:00,04:45,,,
2024-11-15 04:45:00,04:45,,,
2024-11-16 04:45:00,04:45,,,
2024-11-19 04:45:00,04:45,,,
2024-11-20 04:45:00,04:45,,,
2024-11-21 04:45:00,04:45,,,
2024-11-22 04:45:00,04:45,,,
2024-11-14 05:00:00,05:00,,,
2024-11-15 05:00:00,05:00,,,
2024-11-16 05:00:00,05:00,,,
2024-11-19 05:00:00,05:00,,,
2024-11-20 05:00:00,05:00,,,
2024-11-21 05:00:00,05:00,,,
2024-11-22 05:00:00,05:00,,,
2024-11-14 05:15:00,05:15,,,
2024-11-15 05:15:00,05:15,,,
2024-11-16 05:15:00,05:15,,,
2024-11-19 05:15:00,05:15,,,
2024-11-20 05:15:00,05:15,,,
2024-11-21 05:15:00,05:15,,,
2024-11-22 05:15:00,05:15,,,
2024-11-14 05:30:00,05:30,,,
2024-11-15 05:30:00,05:30,,,
2024-11-16 05:30:00,05:30,,,
2024-11-19 05:30:00,05:30,,,
2024-11-20 05:30:00,05:30,,,
2024-11-21 05:30:00,05:30,,,
2024-11-22 05:30:00,05:30,,,
2024-11-14 05:45:00,05:45,,,
2024-11-15 05:45:00,05:45,,,
2024-11-16 05:45:00,05:45,,,
2024-11-19 05:45:00,05:45,,,
2024-11-20 05:45:00,05:45,,,
2024-11-21 05:45:00,05:45,,,
2024-11-22 05:45:00,05:45,,,
2024-11-14 06:00:00,06:00,,,
2024-11-15 06:00:00,06:00,,,
2024-11-16 06:00:00,06:00,,,
2024-11-19 06:00:00,06:00,,,
2024-11-20 06:00:00,06:00,,,
2024-11-21 06:00:00,06:00,,,
2024-11-22 06:00:00,06:00,,,
2024-11-14 06:15:00,06:15,,,
2024-11-15 06:15:00,06:15,,,
2024-11-16 06:15:00,06:15,,,
2024-11-19 06:15:00,06:15,,,
2024-11-20 06:15:00,06:15,,,
2024-11-21 06:15:00,06:15,,,
2024-11-22 06:15:00,06:15,,,
2024-11-14 06:30:00,06:30,,,
2024-11-15 06:30:00,06:30,,,
2024-11-16 06:30:00,06:30,,,
2024-11-19 06:30:00,06:30,,,
2024-11-20 06:30:00,06:30,,,
2024-11-21 06:30:00,06:30,,,
2024-11-22 06:30:00,06:30,,,
2024-11-14 06:45:00,06:45,,,
2024-11-15 06:45:00,06:45,,,
2024-11-16 06:45:00,06:45,,,
2024-11-19 06:45:00,06:45,,,
2024-11-20 06:45:00,06:45,,,
2024-11-21 06:45:00,06:45,,,
2024-11-22 06:45:00,06:45,,,
2024-11-14 07:00:00,07:00,,,
2024-11-15 07:00:00,07:00,,,
2024-11-16 07:00:00,07:00,,,
2024-11-19 07:00:00,07:00,,,
2024-11-20 07:00:00,07:00,,,
2024-11-21 07:00:00,07:00,,,
2024-11-22 07:00:00,07:00,,,
2024-11-14 07:15:00,07:15,,,
2024-11-15 07:15:00,07:15,,,
2024-11-16 07:15:00,07:15,,,
2024-11-19 07:15:00,07:15,,,
2024-11-20 07:15:00,07:15,,,
2024-11-21 07:15:00,07:15,,,
2024-11-22 07:15:00,07:15,,,
2024-11-14 07:30:00,07:30,,,
2024-11-15 07:30:00,07:30,,,
2024-11-16 07:30:00,07:30,,,
2024-11-19 07:30:00,07:30,,,
2024-11-20 07:30:00,07:30,,,
2024-11-21 07:30:00,07:30,,,
2024-11-22 07:30:00,07:30,,,
2024-11-14 07:45:00,07:45,,,
2024-11-15 07:45:00,07:45,,,
2024-11-16 07:45:00,07:45,,,
2024-11-19 07:45:00,07:45,,,
2024-11-20 07:45:00,07:45,,,
2024-11-21 07:45:00,07:45,,,
2024-11-22 07:45:00,07:45,,,
2024-11-14 08:00:00,08:00,,,
2024-11-15 08:00:00,08:00,,,
2024-11-16 08:00:00,08:00,,,
2024-11-19 08:00:00,08:00,,,
2024-11-20 08:00:00,08:00,,,
2024-11-21 08:00:00,08:00,,,
2024-11-22 08:00:00,08:00,,,
2024-11-14 08:15:00,08:15,,,
2024-11-15 08:15:00,08:15,,,
2024-11-16 08:15:00,08:15,,,
2024-11-19 08:15:00,08:15,,,
2024-11-20 08:15:00,08:15,,,
2024-11-21 08:15:00,08:15,,,
2024-11-22 08:15:00,08:15,,,
2024-11-14 08:30:00,08:30,,,
2024-11-15 08:30:00,08:30,,,
2024-11-16 08:30:00,08:30,,,
2024-11-19 08:30:00,08:30,,,
2024-11-20 08:30:00,08:30,,,
2024-11-21 08:30:00,08:30,,,
2024-11-22 08:30:00,08:30,,,
2024-11-14 08:45:00,08:45,,,
2024-11-15 08:45:00,08:45,,,
2024-11-16 08:45:00,08:45,,,
2024-11-19 08:45:00,08:45,,,
2024-11-20 08:45:00,08:45,,,
2024-11-21 08:45:00,08:45,,,
2024-11-22 08:45:00,08:45,,,
2024-11-14 09:00:00,09:00,,,
2024-11-15 09:00:00,09:00,,,
2024-11-16 09:00:00,09:00,,,
2024-11-19 09:00:00,09:00,,,
2024-11-20 09:00:00,09:00,,,
2024-11-21 09:00:00,09:00,,,
2024-11-22 09:00:00,09:00,,,
2024-11-14 09:15:00,09:15,,,
2024-11-15 09:15:00,09:15,,,
2024-11-16 09:15:00,09:15,,,
2024-11-19 09:15:00,09:15,,,
2024-11-20 09:15:00,09:15,,,
2024-11-21 09:15:00,09:15,,,
2024-11-22 09:15:00,09:15,,,
2024-11-14 09:30:00,09:30,,,
2024-11-15 09:30:00,09:30,,,
2024-11-16 09:30:00,09:30,,,
2024-11-19 09:30:00,09:30,,,
2024-11-20 09:30:00,09:30,,,
2024-11-21 09:30:00,09:30,,,
2024-11-22 09:30:00,09:30,,,
2024-11-14 09:45:00,09:45,,,
2024-11-15 09:45:00,09:45,,,
2024-11-16 09:45:00,09:45,,,
2024-11-19 09:45:00,09:45,,,
2024-11-20 09:45:00,09:45,,,
2024-11-21 09:45:00,09:45,,,
2024-11-22 09:45:00,09:45,,,
2024-11-14 10:00:00,10:00,,,
2024-11-15 10:00:00,10:00,,,
2024-11-16 10:00:00,10:00,,,
2024-11-19 10:00:00,10:00,,,
2024-11-20 10:00:00,10:00,,,
2024-11-21 10:00:00,10:00,,,
2024-11-22 10:00:00,10:00,,,
2024-11-14 10:15:00,10:15,,,
2024-11-15 10:15:00,10:15,,,
2024-11-16 10:15:00,10:15,,,
2024-11-19 10:15:00,10:15,,,
2024-11-20 10:15:00,10:15,,,
2024-11-21 10:15:00,10:15,,,
2024-11-22 10:15:00,10:15,,,
2024-11-14 10:30:00,10:30,,,
2024-11-15 10:30:00,10:30,,,
2024-11-16 10:30:00,10:30,,,
2024-11-19 10:30:00,10:30,,,
2024-11-20 10:30:00,10:30,,,
2024-11-21 10:30:00,10:30,,,
2024-11-22 10:30:00,10:30,,,
2024-11-14 10:45:00,10:45,,,
2024-11-15 10:45:00,10:45,,,
2024-11-16 10:45:00,10:45,,,
2024-11-19 10:45:00,10:45,,,
2024-11-20 10:45:00,10:45,,,
2024-11-21 10:45:00,10:45,,,
2024-11-22 10:45:00,10:45,,,
2024-11-14 11:00:00,11:00,,,
2024-11-15 11:00:00,11:00,,,
2024-11-16 11:00:00,11:00,,,
2024-11-19 11:00:00,11:00,,,
2024-11-20 11:00:00,11:00,,,
2024-11-21 11:00:00,11:00,,,
2024-11-22 11:00:00,11:00,,,
2024-11-14 11:15:00,11:15,,,
2024-11-15 11:15:00,11:15,,,
2024-11-16 11:15:00,11:15,,,
2024-11-19 11:15:00,11:15,,,
2024-11-20 11:15:00,11:15,,,
2024-11-21 11:15:00,11:15,,,
2024-11-22 11:15:00,11:15,,,
2024-11-14 11:30:00,11:30,,,
2024-11-15 11:30:00,11:30,,,
2024-11-16 11:30:00,11:30,,,
2024-11-19 11:30:00,11:30,,,
2024-11-20 11:30:00,11:30,,,
2024-11-21 11:30:00,11:30,,,
2024-11-22 11:30:00,11:30,,,
2024-11-14 11:45:00,11:45,,,
2024-11-15 11:45:00,11:45,,,
2024-11-16 11:45:00,11:45,,,
2024-11-19 11:45:00,11:45,,,
2024-11-20 11:45:00,11:45,,,
2024-11-21 11:45:00,11:45,,,
2024-11-22 11:45:00,11:45,,,
2024-11-14 12:00:00,12:00,,,
2024-11-15 12:00:00,12:00,,,
2024-11-16 12:00:00,12:00,,,
2024-11-19 12:00:00,12:00,,,
2024-11-20 12:00:00,12:00,,,
2024-11-21 12:00:00,12:00,,,
2024-11-22 12:00:00,12:00,,,
2024-11-14 12:15:00,12:15,,,
2024-11-15 12:15:00,12:15,,,
2024-11-16 12:15:00,12:15,,,
2024-11-19 12:15:00,12:15,,,
2024-11-20 12:15:00,12:15,,,
2024-11-21 12:15:00,12:15,,,
2024-11-22 12:15:00,12:15,,,
2024-11-14 12:30:00,12:30,,,
2024-11-15 12:30:00,12:30,,,
2024-11-16 12:30:00,12:30,,,
2024-11-19 12:30:00,12:30,,,
2024-11-20 12:30:00,12:30,,,
2024-11-21 12:30:00,12:30,,,
2024-11-22 12:30:00,12:30,,,
2024-11-14 12:45:00,12:45,,,
2024-11-15 12:45:00,12:45,,,
2024-11-16 12:45:00,12:45,,,
2024-11-19 12:45:00,12:45,,,
2024-11-20 12:45:00,12:45,,,
2024-11-21 12:45:00,12:45,,,
2024-11-22 12:45:00,12:45,,,
2024-11-14 13:00:00,13:00,,,
2024-11-15 13:00:00,13:00,,,
2024-11-16 13:00:00,13:00,,,
2024-11-19 13:00:00,13:00,,,
2024-11-20 13:00:00,13:00,,,
2024-11-21 13:00:00,13:00,,,
2024-11-22 13:00:00,13:00,,,
2024-11-14 13:15:00,13:15,,,
2024-11-15 13:15:00,13:15,,,
2024-11-16 13:15:00,13:15,,,
2024-11-19 13:15:00,13:15,,,
2024-11-20 13:15:00,13:15,,,
2024-11-21 13:15:00,13:15,,,
2024-11-22 13:15:00,13:15,,,
2024-11-14 13:30:00,13:30,,,
2024-11-15 13:30:00,13:30,,,
2024-11-16 13:30:00,13:30,,,
2024-11-19 13:30:00,13:30,,,
2024-11-20 13:30:00,13:30,,,
2024-11-21 13:30:00,13:30,,,
2024-11-22 13:30:00,13:30,,,
2024-11-14 13:45:00,13:45,,,
2024-11-15 13:45:00,13:45,,,
2024-11-16 13:45:00,13:45,,,
2024-11-19 13:45:00,13:45,,,
2024-11-20 13:45:00,13:45,,,
2024-11-21 13:45:00,13:45,,,
2024-11-22 13:45:00,13:45,,,
2024-11-14 14:00:00,14:00,,,
2024-11-15 14:00:00,14:00,,,
2024-11-16 14:00:00,14:00,,,
2024-11-19 14:00:00,14:00,,,
2024-11-20 14:00:00,14:00,,,
2024-11-21 14:00:00,14:00,,,
2024-11-22 14:00:00,14:00,,,
2024-11-14 14:15:00,14:15,,,
2024-11-15 14:15:00,14:15,,,
2024-11-16 14:15:00,14:15,,,
2024-11-19 14:15:00,14:15,,,
2024-11-20 14:15:00,14:15,,,
2024-11-21 14:15:00,14:15,,,
2024-11-22 14:15:00,14:15,,,
2024-11-14 14:30:00,14:30,,,
2024-11-15 14:30:00,14:30,,,
2024-11-16 14:30:00,14:30,,,
2024-11-19 14:30:00,14:30,,,
2024-11-20 14:30:00,14:30,,,
2024-11-21 14:30:00,14:30,,,
